"CH1:1x_x","CH1:1x_y","CH1:2x_x","CH1:2x_y","CH1:4x_x","CH1:4x_y","CH1:5x_x","CH1:5x_y","CH1:8x_x","CH1:8x_y","CH1:10x_x","CH1:10x_y","CH1:16x_x","CH1:16x_y","CH1:32x_x","CH1:32x_y","CH2:1x_x","CH2:1x_y","CH2:2x_x","CH2:2x_y","CH2:4x_x","CH2:4x_y","CH2:5x_x","CH2:5x_y","CH2:8x_x","CH2:8x_y","CH2:10x_x","CH2:10x_y","CH2:16x_x","CH2:16x_y","CH2:32x_x","CH2:32x_y"
2520,0.8166996,2520,0.7972305,2520,0.7878146,2520,0.7868898,3300,2.051302, , , , , , ,2520,0.7522962,2520,0.7391557,2520,0.7336217,2520,0.7312592,3300,2.000174, , , , , , ,
2550,0.8674638,2550,0.8482012,2550,0.8383697,2550,0.8374949, , , , , , , , ,2550,0.8031259,2550,0.7897537,2550,0.7837462,2550,0.7820476, , , , , , , , ,
2580,0.9175531,2580,0.8981419,2580,0.8882135,2580,0.8873122, , , , , , , , ,2580,0.8527468,2580,0.8397422,2580,0.8334364,2580,0.8317853, , , , , , , , ,
2610,0.9664034,2610,0.9469922,2610,0.9373899,2610,0.9364818, , , , , , , , ,2610,0.9017734,2610,0.8887058,2610,0.8824377,2610,0.8804916, , , , , , , , ,
2640,1.015168,2640,0.9958299,2640,0.9859354,2640,0.9849734, , , , , , , , ,2640,0.9504171,2640,0.9374125,2640,0.9312855,2640,0.9291666, , , , , , , , ,
2670,1.062125,2670,1.043434,2670,1.034157,2670,1.033302, , , , , , , , ,2670,0.9988494,2670,0.985394,2670,0.9793223,2670,0.9775495, , , , , , , , ,
2700,1.110793,2700,1.091732,2700,1.082587,2700,1.081747, , , , , , , , ,2700,1.04566,2700,1.033428,2700,1.027736,2700,1.025791, , , , , , , , ,
2730,1.159714,2730,1.140482,2730,1.131308,2730,1.130527, , , , , , , , ,2730,1.094107,2730,1.081737,2730,1.076265,2730,1.074232, , , , , , , , ,
2760,1.208071,2760,1.189163,2760,1.179968,2760,1.179336, , , , , , , , ,2760,1.142605,2760,1.130305,2760,1.124783,2760,1.12293, , , , , , , , ,
2790,1.255803,2790,1.236825,2790,1.22734,2790,1.226826, , , , , , , , ,2790,1.190146,2790,1.17774,2790,1.172238,2790,1.170237, , , , , , , , ,
2820,1.303792,2820,1.28461,2820,1.275382,2820,1.274487, , , , , , , , ,2820,1.237968,2820,1.225563,2820,1.220124,2820,1.218005, , , , , , , , ,
2850,1.352693,2850,1.333551,2850,1.323965,2850,1.323358, , , , , , , , ,2850,1.286527,2850,1.274363,2850,1.269095,2850,1.266484, , , , , , , , ,
2880,1.402203,2880,1.382709,2880,1.373043,2880,1.372567, , , , , , , , ,2880,1.335981,2880,1.323483,2880,1.317756,2880,1.315714, , , , , , , , ,
2910,1.451093,2910,1.431773,2910,1.421998,2910,1.421596, , , , , , , , ,2910,1.384721,2910,1.37219,2910,1.366666,2910,1.364489, , , , , , , , ,
2940,1.499838,2940,1.480792,2940,1.470884,2940,1.470252, , , , , , , , ,2940,1.433536,2940,1.421229,2940,1.415552,2940,1.413439, , , , , , , , ,
2970,1.548945,2970,1.529421,2970,1.519754,2970,1.519121, , , , , , , , ,2970,1.482159,2970,1.469842,2970,1.464296,2970,1.461786, , , , , , , , ,
3000,1.597745,3000,1.57743,3000,1.568046,3000,1.56777, , , , , , , , ,3000,1.530723,3000,1.518559,3000,1.512955,3000,1.5104, , , , , , , , ,
3030,1.646802,3030,1.626685,3030,1.616895,3030,1.617122, , , , , , , , ,3030,1.579653,3030,1.566583,3030,1.561547,3030,1.559226, , , , , , , , ,
3060,1.695622,3060,1.675505,3060,1.665945,3060,1.665813, , , , , , , , ,3060,1.62874,3060,1.615386,3060,1.610411,3060,1.608079, , , , , , , , ,
3090,1.745112,3090,1.72461,3090,1.715068,3090,1.714839, , , , , , , , ,3090,1.677858,3090,1.664382,3090,1.659358,3090,1.656885, , , , , , , , ,
